id;wkt
70;POLYGON((-688287.1463414633 -1126046.1219512196, -669493.2939257452 -1119205.7190847062, -669376.774829477 -1119534.7588620766, -688287.1463414633 -1126046.1219512196))
71;POLYGON((-688287.1463414633 -1126046.1219512196, -669376.774829477 -1119534.7588620766, -669266.0160155602 -1119865.7820637207, -688287.1463414633 -1126046.1219512196))
72;POLYGON((-688287.1463414633 -1126046.1219512196, -669266.0160155602 -1119865.7820637207, -669161.0512222026 -1120198.687856765, -688287.1463414633 -1126046.1219512196))
73;POLYGON((-688287.1463414633 -1126046.1219512196, -669161.0512222026 -1120198.687856765, -669061.912422697 -1120533.3748348795, -688287.1463414633 -1126046.1219512196))
74;POLYGON((-688287.1463414633 -1126046.1219512196, -669061.912422697 -1120533.3748348795, -668968.629815682 -1120869.741049169, -688287.1463414633 -1126046.1219512196))
75;POLYGON((-688287.1463414633 -1126046.1219512196, -668968.629815682 -1120869.741049169, -668881.2318159434 -1121207.6840392263, -688287.1463414633 -1126046.1219512196))
76;POLYGON((-688287.1463414633 -1126046.1219512196, -668881.2318159434 -1121207.6840392263, -668799.7450457587 -1121547.1008643424, -688287.1463414633 -1126046.1219512196))
77;POLYGON((-688287.1463414633 -1126046.1219512196, -668799.7450457587 -1121547.1008643424, -668724.1943267873 -1121887.8881348644, -688287.1463414633 -1126046.1219512196))
78;POLYGON((-688287.1463414633 -1126046.1219512196, -668724.1943267873 -1121887.8881348644, -668654.6026725101 -1122229.9420436886, -688287.1463414633 -1126046.1219512196))
79;POLYGON((-688287.1463414633 -1126046.1219512196, -668654.6026725101 -1122229.9420436886, -668590.9912812192 -1122573.158397881, -688287.1463414633 -1126046.1219512196))
80;POLYGON((-688287.1463414633 -1126046.1219512196, -668590.9912812192 -1122573.158397881, -668533.3795295606 -1122917.432650415, -688287.1463414633 -1126046.1219512196))
81;POLYGON((-688287.1463414633 -1126046.1219512196, -668533.3795295606 -1122917.432650415, -668481.7849666319 -1123262.6599320183, -688287.1463414633 -1126046.1219512196))
82;POLYGON((-688287.1463414633 -1126046.1219512196, -668481.7849666319 -1123262.6599320183, -668436.2233086369 -1123608.7350831167, -688287.1463414633 -1126046.1219512196))
83;POLYGON((-688287.1463414633 -1126046.1219512196, -668436.2233086369 -1123608.7350831167, -668396.7084340978 -1123955.5526858666, -688287.1463414633 -1126046.1219512196))
84;POLYGON((-688287.1463414633 -1126046.1219512196, -668396.7084340978 -1123955.5526858666, -668363.2523796284 -1124303.0070962664, -688287.1463414633 -1126046.1219512196))
85;POLYGON((-688287.1463414633 -1126046.1219512196, -668363.2523796284 -1124303.0070962664, -668335.8653362668 -1124650.9924763371, -688287.1463414633 -1126046.1219512196))
86;POLYGON((-688287.1463414633 -1126046.1219512196, -668335.8653362668 -1124650.9924763371, -668314.5556463718 -1124999.4028263607, -688287.1463414633 -1126046.1219512196))
87;POLYGON((-688287.1463414633 -1126046.1219512196, -668314.5556463718 -1124999.4028263607, -668299.3298010814 -1125348.1320171696, -688287.1463414633 -1126046.1219512196))
88;POLYGON((-688287.1463414633 -1126046.1219512196, -668299.3298010814 -1125348.1320171696, -668290.1924383355 -1125697.0738224739, -688287.1463414633 -1126046.1219512196))
89;POLYGON((-688287.1463414633 -1126046.1219512196, -668290.1924383355 -1125697.0738224739, -668287.1463414633 -1126046.1219512196, -688287.1463414633 -1126046.1219512196))
90;POLYGON((-688287.1463414633 -1126046.1219512196, -668287.1463414633 -1126046.1219512196, -668290.1924383355 -1126395.1700799654, -688287.1463414633 -1126046.1219512196))
91;POLYGON((-688287.1463414633 -1126046.1219512196, -668290.1924383355 -1126395.1700799654, -668299.3298010814 -1126744.1118852696, -688287.1463414633 -1126046.1219512196))
92;POLYGON((-688287.1463414633 -1126046.1219512196, -668299.3298010814 -1126744.1118852696, -668314.5556463718 -1127092.8410760786, -688287.1463414633 -1126046.1219512196))
93;POLYGON((-688287.1463414633 -1126046.1219512196, -668314.5556463718 -1127092.8410760786, -668335.8653362668 -1127441.2514261021, -688287.1463414633 -1126046.1219512196))
94;POLYGON((-688287.1463414633 -1126046.1219512196, -668335.8653362668 -1127441.2514261021, -668363.2523796284 -1127789.2368061729, -688287.1463414633 -1126046.1219512196))
95;POLYGON((-688287.1463414633 -1126046.1219512196, -668363.2523796284 -1127789.2368061729, -668396.7084340978 -1128136.6912165727, -688287.1463414633 -1126046.1219512196))
96;POLYGON((-688287.1463414633 -1126046.1219512196, -668396.7084340978 -1128136.6912165727, -668436.2233086369 -1128483.5088193226, -688287.1463414633 -1126046.1219512196))
97;POLYGON((-688287.1463414633 -1126046.1219512196, -668436.2233086369 -1128483.5088193226, -668481.7849666319 -1128829.583970421, -688287.1463414633 -1126046.1219512196))
98;POLYGON((-688287.1463414633 -1126046.1219512196, -668481.7849666319 -1128829.583970421, -668533.3795295606 -1129174.8112520243, -688287.1463414633 -1126046.1219512196))
99;POLYGON((-688287.1463414633 -1126046.1219512196, -668533.3795295606 -1129174.8112520243, -668590.9912812192 -1129519.0855045582, -688287.1463414633 -1126046.1219512196))
100;POLYGON((-688287.1463414633 -1126046.1219512196, -668590.9912812192 -1129519.0855045582, -668654.6026725101 -1129862.3018587506, -688287.1463414633 -1126046.1219512196))
101;POLYGON((-688287.1463414633 -1126046.1219512196, -668654.6026725101 -1129862.3018587506, -668724.1943267873 -1130204.3557675749, -688287.1463414633 -1126046.1219512196))
102;POLYGON((-688287.1463414633 -1126046.1219512196, -668724.1943267873 -1130204.3557675749, -668799.7450457587 -1130545.1430380968, -688287.1463414633 -1126046.1219512196))
103;POLYGON((-688287.1463414633 -1126046.1219512196, -668799.7450457587 -1130545.1430380968, -668881.2318159434 -1130884.559863213, -688287.1463414633 -1126046.1219512196))
104;POLYGON((-688287.1463414633 -1126046.1219512196, -668881.2318159434 -1130884.559863213, -668968.629815682 -1131222.5028532702, -688287.1463414633 -1126046.1219512196))
105;POLYGON((-688287.1463414633 -1126046.1219512196, -668968.629815682 -1131222.5028532702, -669061.912422697 -1131558.8690675597, -688287.1463414633 -1126046.1219512196))
106;POLYGON((-688287.1463414633 -1126046.1219512196, -669061.912422697 -1131558.8690675597, -669161.0512222026 -1131893.5560456743, -688287.1463414633 -1126046.1219512196))
107;POLYGON((-688287.1463414633 -1126046.1219512196, -669161.0512222026 -1131893.5560456743, -669266.0160155602 -1132226.4618387185, -688287.1463414633 -1126046.1219512196))
108;POLYGON((-688287.1463414633 -1126046.1219512196, -669266.0160155602 -1132226.4618387185, -669376.774829477 -1132557.4850403627, -688287.1463414633 -1126046.1219512196))
109;POLYGON((-688287.1463414633 -1126046.1219512196, -669376.774829477 -1132557.4850403627, -669493.2939257452 -1132886.524817733, -688287.1463414633 -1126046.1219512196))
110;POLYGON((-688287.1463414633 -1126046.1219512196, -669493.2939257452 -1132886.524817733, -669615.5378115192 -1133213.4809421257, -688287.1463414633 -1126046.1219512196))
111;POLYGON((-688287.1463414633 -1126046.1219512196, -669615.5378115192 -1133213.4809421257, -669743.4692501276 -1133538.2538195378, -688287.1463414633 -1126046.1219512196))
112;POLYGON((-688287.1463414633 -1126046.1219512196, -669743.4692501276 -1133538.2538195378, -669877.0492724145 -1133860.744521005, -688287.1463414633 -1126046.1219512196))
113;POLYGON((-688287.1463414633 -1126046.1219512196, -669877.0492724145 -1133860.744521005, -670016.2371886113 -1134180.8548127357, -688287.1463414633 -1126046.1219512196))
114;POLYGON((-688287.1463414633 -1126046.1219512196, -670016.2371886113 -1134180.8548127357, -670160.9906007303 -1134498.4871860335, -688287.1463414633 -1126046.1219512196))
115;POLYGON((-688287.1463414633 -1126046.1219512196, -670160.9906007303 -1134498.4871860335, -670311.26541548 -1134813.5448870012, -688287.1463414633 -1126046.1219512196))
116;POLYGON((-688287.1463414633 -1126046.1219512196, -670311.26541548 -1134813.5448870012, -670467.015857696 -1135125.9319460106, -688287.1463414633 -1126046.1219512196))
117;POLYGON((-688287.1463414633 -1126046.1219512196, -670467.015857696 -1135125.9319460106, -670628.1944842847 -1135435.5532069374, -688287.1463414633 -1126046.1219512196))
118;POLYGON((-688287.1463414633 -1126046.1219512196, -670628.1944842847 -1135435.5532069374, -670794.7521986754 -1135742.3143561464, -688287.1463414633 -1126046.1219512196))
119;POLYGON((-688287.1463414633 -1126046.1219512196, -670794.7521986754 -1135742.3143561464, -670966.6382657746 -1136046.1219512196, -688287.1463414633 -1126046.1219512196))
120;POLYGON((-688287.1463414633 -1126046.1219512196, -670966.6382657746 -1136046.1219512196, -671143.800327421 -1136346.8834494208, -688287.1463414633 -1126046.1219512196))
121;POLYGON((-688287.1463414633 -1126046.1219512196, -671143.800327421 -1136346.8834494208, -671326.1844183347 -1136644.5072358837, -688287.1463414633 -1126046.1219512196))
122;POLYGON((-688287.1463414633 -1126046.1219512196, -671326.1844183347 -1136644.5072358837, -671513.7349825548 -1136938.9026515202, -688287.1463414633 -1126046.1219512196))
123;POLYGON((-688287.1463414633 -1126046.1219512196, -671513.7349825548 -1136938.9026515202, -671706.3948903625 -1137229.9800206346, -688287.1463414633 -1126046.1219512196))
124;POLYGON((-688287.1463414633 -1126046.1219512196, -671706.3948903625 -1137229.9800206346, -671904.1054556834 -1137517.6506782405, -688287.1463414633 -1126046.1219512196))
125;POLYGON((-688287.1463414633 -1126046.1219512196, -671904.1054556834 -1137517.6506782405, -672106.8064539643 -1137801.8269970692, -688287.1463414633 -1126046.1219512196))
126;POLYGON((-688287.1463414633 -1126046.1219512196, -672106.8064539643 -1137801.8269970692, -672314.4361405175 -1138082.4224142607, -688287.1463414633 -1126046.1219512196))
127;POLYGON((-688287.1463414633 -1126046.1219512196, -672314.4361405175 -1138082.4224142607, -672526.9312693289 -1138359.3514577327, -688287.1463414633 -1126046.1219512196))
128;POLYGON((-688287.1463414633 -1126046.1219512196, -672526.9312693289 -1138359.3514577327, -672744.2271123239 -1138632.5297722165, -688287.1463414633 -1126046.1219512196))
129;POLYGON((-688287.1463414633 -1126046.1219512196, -672744.2271123239 -1138632.5297722165, -672966.2574790837 -1138901.8741449504, -688287.1463414633 -1126046.1219512196))
130;POLYGON((-688287.1463414633 -1126046.1219512196, -672966.2574790837 -1138901.8741449504, -673192.9547370079 -1139167.3025310298, -688287.1463414633 -1126046.1219512196))
131;POLYGON((-688287.1463414633 -1126046.1219512196, -673192.9547370079 -1139167.3025310298, -673424.2498319155 -1139428.7340783968, -688287.1463414633 -1126046.1219512196))
132;POLYGON((-688287.1463414633 -1126046.1219512196, -673424.2498319155 -1139428.7340783968, -673660.0723090799 -1139686.0891524695, -688287.1463414633 -1126046.1219512196))
133;POLYGON((-688287.1463414633 -1126046.1219512196, -673660.0723090799 -1139686.0891524695, -673900.3503346903 -1139939.2893603996, -688287.1463414633 -1126046.1219512196))
134;POLYGON((-688287.1463414633 -1126046.1219512196, -673900.3503346903 -1139939.2893603996, -674145.0107177324 -1140188.2575749506, -688287.1463414633 -1126046.1219512196))
135;POLYGON((-688287.1463414633 -1126046.1219512196, -674145.0107177324 -1140188.2575749506, -674393.9789322834 -1140432.9179579928, -688287.1463414633 -1126046.1219512196))
136;POLYGON((-688287.1463414633 -1126046.1219512196, -674393.9789322834 -1140432.9179579928, -674647.1791402133 -1140673.1959836031, -688287.1463414633 -1126046.1219512196))
137;POLYGON((-688287.1463414633 -1126046.1219512196, -674647.1791402133 -1140673.1959836031, -674904.5342142861 -1140909.0184607676, -688287.1463414633 -1126046.1219512196))
138;POLYGON((-688287.1463414633 -1126046.1219512196, -674904.5342142861 -1140909.0184607676, -675165.9657616531 -1141140.313555675, -688287.1463414633 -1126046.1219512196))
139;POLYGON((-688287.1463414633 -1126046.1219512196, -675165.9657616531 -1141140.313555675, -675431.3941477325 -1141367.0108135992, -688287.1463414633 -1126046.1219512196))
140;POLYGON((-688287.1463414633 -1126046.1219512196, -675431.3941477325 -1141367.0108135992, -675700.7385204666 -1141589.041180359, -688287.1463414633 -1126046.1219512196))
141;POLYGON((-688287.1463414633 -1126046.1219512196, -675700.7385204666 -1141589.041180359, -675973.9168349501 -1141806.3370233541, -688287.1463414633 -1126046.1219512196))
142;POLYGON((-688287.1463414633 -1126046.1219512196, -675973.9168349501 -1141806.3370233541, -676250.8458784224 -1142018.8321521655, -688287.1463414633 -1126046.1219512196))
143;POLYGON((-688287.1463414633 -1126046.1219512196, -676250.8458784224 -1142018.8321521655, -676531.4412956139 -1142226.4618387185, -688287.1463414633 -1126046.1219512196))
144;POLYGON((-688287.1463414633 -1126046.1219512196, -676531.4412956139 -1142226.4618387185, -676815.6176144424 -1142429.1628369994, -688287.1463414633 -1126046.1219512196))
145;POLYGON((-688287.1463414633 -1126046.1219512196, -676815.6176144424 -1142429.1628369994, -677103.2882720483 -1142626.8734023205, -688287.1463414633 -1126046.1219512196))
146;POLYGON((-688287.1463414633 -1126046.1219512196, -677103.2882720483 -1142626.8734023205, -677394.3656411627 -1142819.5333101281, -688287.1463414633 -1126046.1219512196))
147;POLYGON((-688287.1463414633 -1126046.1219512196, -677394.3656411627 -1142819.5333101281, -677688.7610567992 -1143007.083874348, -688287.1463414633 -1126046.1219512196))
148;POLYGON((-688287.1463414633 -1126046.1219512196, -677688.7610567992 -1143007.083874348, -677986.3848432623 -1143189.4679652618, -688287.1463414633 -1126046.1219512196))
149;POLYGON((-688287.1463414633 -1126046.1219512196, -677986.3848432623 -1143189.4679652618, -678287.1463414633 -1143366.6300269084, -688287.1463414633 -1126046.1219512196))
150;POLYGON((-688287.1463414633 -1126046.1219512196, -678287.1463414633 -1143366.6300269084, -678590.9539365366 -1143538.5160940075, -688287.1463414633 -1126046.1219512196))
151;POLYGON((-688287.1463414633 -1126046.1219512196, -678590.9539365366 -1143538.5160940075, -678897.7150857456 -1143705.073808398, -688287.1463414633 -1126046.1219512196))
152;POLYGON((-688287.1463414633 -1126046.1219512196, -678897.7150857456 -1143705.073808398, -679207.3363466724 -1143866.2524349869, -688287.1463414633 -1126046.1219512196))
153;POLYGON((-688287.1463414633 -1126046.1219512196, -679207.3363466724 -1143866.2524349869, -679519.7234056818 -1144022.002877203, -688287.1463414633 -1126046.1219512196))
154;POLYGON((-688287.1463414633 -1126046.1219512196, -679519.7234056818 -1144022.002877203, -679834.7811066493 -1144172.2776919527, -688287.1463414633 -1126046.1219512196))
155;POLYGON((-688287.1463414633 -1126046.1219512196, -679834.7811066493 -1144172.2776919527, -680152.4134799473 -1144317.0311040715, -688287.1463414633 -1126046.1219512196))
156;POLYGON((-688287.1463414633 -1126046.1219512196, -680152.4134799473 -1144317.0311040715, -680472.5237716779 -1144456.2190202684, -688287.1463414633 -1126046.1219512196))
157;POLYGON((-688287.1463414633 -1126046.1219512196, -680472.5237716779 -1144456.2190202684, -680795.0144731451 -1144589.7990425553, -688287.1463414633 -1126046.1219512196))
158;POLYGON((-688287.1463414633 -1126046.1219512196, -680795.0144731451 -1144589.7990425553, -681119.7873505573 -1144717.7304811636, -688287.1463414633 -1126046.1219512196))
159;POLYGON((-688287.1463414633 -1126046.1219512196, -681119.7873505573 -1144717.7304811636, -681446.74347495 -1144839.9743669378, -688287.1463414633 -1126046.1219512196))
160;POLYGON((-688287.1463414633 -1126046.1219512196, -681446.74347495 -1144839.9743669378, -681775.7832523201 -1144956.4934632059, -688287.1463414633 -1126046.1219512196))
161;POLYGON((-688287.1463414633 -1126046.1219512196, -681775.7832523201 -1144956.4934632059, -682106.8064539643 -1145067.2522771228, -688287.1463414633 -1126046.1219512196))
162;POLYGON((-688287.1463414633 -1126046.1219512196, -682106.8064539643 -1145067.2522771228, -682439.7122470086 -1145172.2170704803, -688287.1463414633 -1126046.1219512196))
163;POLYGON((-688287.1463414633 -1126046.1219512196, -682439.7122470086 -1145172.2170704803, -682774.3992251233 -1145271.3558699861, -688287.1463414633 -1126046.1219512196))
164;POLYGON((-688287.1463414633 -1126046.1219512196, -682774.3992251233 -1145271.3558699861, -683110.7654394129 -1145364.6384770009, -688287.1463414633 -1126046.1219512196))
