-669044;-1066504;4065;Bílé Podolí;3205;Kutná Hora, Bílé Podolí;ST
-670918;-1066518;4120;Zaříčany;3205;Kutná Hora, Bílé Podolí;ST
-728360;-1011741;157538;Střemy;3206;Mělník, Střemy;ST
-752954;-1024179;111031;Olovnice;3206;Mělník, Olovnice;ST
-720840;-1008256;156175;Stránka;3206;Mělník, Stránka;ST
-781339;-1129270;64823;Kestřany;3305;Písek, Kestřany;JC
-686677;-973497;82384;Vysoká škola;3505;Liberec, Liberec;LB
-730611;-1130584;70815;Košice;3308;Tábor, Košice;JC
-758954;-1102333;71439;Vladyčín;3305;Písek, Kovářov;JC
-760567;-1103047;71447;Záluží;3305;Písek, Kovářov;JC
-640923;-1152740;151220;Smrk;3710;Třebíč, Smrk;VY
-770741;-1162567;189286;Záboří;3301;České Budějovice, Záboří;JC
-743210;-1187923;194557;Žumberk;3301;České Budějovice, Žár;JC
-751438;-1137389;28100;Smilovice;3301;České Budějovice, Žimutice;JC
-745888;-1195028;2402;Hartunkov;3302;Český Krumlov, Benešov nad Černou;JC
-752751;-1191903;83623;Děkanské Skaliny;3302;Český Krumlov, Benešov nad Černou;JC
-674765;-1076125;126411;Potěhy;3205;Kutná Hora, Potěhy;ST
-806199;-1072765;140732;Na Pražské;3408;Rokycany, Rokycany;PL
-861804;-1050962;121274;Otín;3410;Tachov, Planá;PL
-806757;-977168;41793;Rudolice v Horách;3508;Most, Hora Svaté Kateřiny;US
-828845;-1079756;27618;Dobřany;3406;Plzeň-jih, Dobřany;PL
-736868;-1142924;180696;Žíšov;3308;Tábor, Žíšov;JC
-670035;-1005221;86738;Chlum;3608;Semily, Lomnice nad Popelkou;LB
-710962;-976802;88587;Luhov;3501;Česká Lípa, Brniště;LB
-713362;-978382;179574;Velký Grunov;3501;Česká Lípa, Brniště;LB
-773976;-997152;170020;Třebívlice;3506;Litoměřice, Třebívlice;US
-820439;-1082756;104078;Nebílovy;3406;Plzeň-jih, Nebílovy;PL
-805273;-1105336;113026;Kotouň;3406;Plzeň-jih, Oselce;PL
-673829;-1003414;40941;Holenice;3608;Semily, Holenice;LB
-653055;-1004531;23981;Čistá u Horek;3608;Semily, Čistá u Horek;LB
-796970;-1168288;308421;U Lexova mlýna;3306;Prachatice, Volary;JC
-752269;-1193986;83658;Ličov;3302;Český Krumlov, Benešov nad Černou;JC
-751012;-1191673;83666;Velké Skaliny;3302;Český Krumlov, Benešov nad Černou;JC
-775186;-1192152;160601;Suš;3302;Český Krumlov, Bohdalovice;JC
-747625;-965292;25151;U stadiónu;3502;Děčín, Děčín;US
-480107;-1159364;107395;Vranča;3810;Vsetín, Nový Hrozenkov;ZL
-499274;-1166905;126853;Pozděchov;3810;Vsetín, Pozděchov;ZL
-686338;-1153721;7790;Borovná;3707;Jihlava, Borovná;VY
-680313;-1128360;8001;Boršov;3707;Jihlava, Boršov;VY
-796956;-1054023;97292;Mlečice;3408;Rokycany, Mlečice;PL
-795605;-1070180;100935;Mýto;3408;Rokycany, Mýto;PL
-746132;-1006088;72133;Krabčice;3506;Litoměřice, Krabčice;US
-655851;-1179430;18040;Ctidružice;3713;Znojmo, Ctidružice;JM
-545033;-1189172;173134;Uherský Ostroh;3711;Uherské Hradiště, Uherský Ostroh;ZL
-742763;-986072;175480;Habřina;3506;Litoměřice, Úštěk;US
-770243;-1170351;75744;Chlumeček;3302;Český Krumlov, Křemže;JC
-649269;-1084415;22616;Hodonín;3603;Chrudim, Hodonín;PA
-625317;-1159032;158747;Sudice;3710;Třebíč, Sudice;VY
-708957;-1057408;182788;Dobré Pole;3204;Kolín, Vitice;ST
-623859;-1179405;120171;Petrovice;3713;Znojmo, Petrovice;JM
-640273;-1185802;121550;Plaveč;3713;Znojmo, Plaveč;JM
-669892;-1186028;123781;Podhradí nad Dyjí;3713;Znojmo, Podhradí nad Dyjí;JM
-650605;-1194971;124117;Podmolí;3713;Znojmo, Podmolí;JM
-621830;-1021355;21741;Zlíč;3605;Náchod, Česká Skalice;KH
-644627;-1151322;183229;Hostákov;3710;Třebíč, Vladislav;VY
-876741;-1032615;30406;Horní Žandov;3402;Cheb, Dolní Žandov;KA
-697157;-1026587;86932;Loučeň;3208;Nymburk, Loučeň;ST
-620447;-1102074;145840;Sádek;3609;Svitavy, Sádek;PA
-743546;-1100908;146820;Sedlec;3211;Příbram, Sedlec-Prčice;ST
